Running run
/home/float/g4xk7-mvbjj/HDU/hd-hws/szdl/hdu-dd/lab16_traffic_light/build/Vtraffic_light_display_unit
Time: 127, Second: 8, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 129, Second: 8, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 131, Second: 9, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 133, Second: 9, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 135, Second: 9, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 137, Second: 9, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 139, Second: 9, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 141, Second: 9, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 143, Second: 9, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 145, Second: 9, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 147, Second: 10, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 149, Second: 10, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 151, Second: 10, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 153, Second: 10, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 155, Second: 10, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 157, Second: 10, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
